school code,school sector ,year_range ,Location,language ,type,formatted_address,google_place_id,input_string,latitude,longitude,postcode,type,surburb,name ,phone number ,city council,ICSEA VALUE,TEACHING STAFF,NON-TEACHING STAFF,NOT ENGLISH 2013,NOT ENGLISH 2014,NOT ENGLISH 2015,NOT ENGLISH 2016,NOT ENGLISH 2017,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
6212,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Cromwell St & McCutcheon Way, Abbotsford VIC 3067, Australia",ChIJqT0RdOJC1moR7JmfzJfZnN0,"Collingwood College VIC,Australia",-37.80322,144.9900517,3067,"establishment,point_of_interest,school,university",Abbotsford,Collingwood College ,03 9417 6681,Yarra (C),1010,80,29,25%,26%,29%,36%,38%,25,31,56,30,35,65,19,30,49,38,12.6,50.6,37,29,66,22,31,53,36,26,62,402.6
1886,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"20 Lithgow St, Abbotsford VIC 3067, Australia",ChIJ_SZbDfxC1moR2FFmYi1nDFQ,"Abbotsford Primary School VIC,Australia",-37.8090158,144.9989435,3067,"establishment,point_of_interest,school",Abbotsford,Abbotsford Primary School ,02 6056 2288,Wodonga (C),1049,13,4,75%,70%,68%,53%,65%,15,16,31,10,17,27,10,10,20,8,14,22,7,10,17,10,5,15,9,10,19,151
3599,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"25 Dover St, Albanvale VIC 3021, Australia",ChIJRcHCbmb11moRhuBJNtZrwgM,"Albanvale Primary School VIC,Australia",-37.7444083,144.774297,3021,"establishment,point_of_interest,school",Albanvale,Albanvale Primary School ,03 9367 2197,Brimbank (C),947,23,6,72%,71%,75%,81%,73%,21,18,39,17,15,32,25,22,47,17,15,32,21,19,40,13,15,28,9,24,33,251
4440,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"61 - 81 Adelaide St, Albion VIC 3020, Australia",ChIJ-_Lhotdf1moR7x8J_WnXHcM,"Albion Primary School VIC,Australia",-37.7775068,144.8196261,3020,"establishment,point_of_interest,school",Albion,Albion Primary School ,03 9311 1325,Brimbank (C),946,15,10,61%,72%,73%,74%,66%,16,14,30,12,19,31,13,9,22,5,17,22,21,7,28,12,11,23,13,13,26,182
5416,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Yarralea St, Alphington VIC 3078, Australia",ChIJUehQxfVD1moR9sXMjU8syu4,"Alphington Primary School VIC,Australia",-37.7836181,145.032285,3078,"establishment,point_of_interest,school",Alphington,Alphington Primary School ,03 9499 2200,Yarra (C),1185,31,8,18%,18%,17%,17%,17%,31.4,32,63.4,33,30,63,32,40,72,30,28,58,32,31,63,27,28,55,24,28,52,426.4
5301,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Millers Rd & Civic Parade, Altona VIC 3018, Australia",ChIJr1Agbmxh1moRDgeEdTRm-dg,"Seaholme Primary School VIC,Australia",-37.8646752,144.8403946,3018,"establishment,point_of_interest,school",Altona,Seaholme Primary School ,03 9398 2806,Hobsons Bay (C),1064,20,7,21%,24%,30%,30%,29%,16,27,43,29,18,47,36,27,63,20,19,39,26,19,45,17,16,33,17,18,35,305
1026,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"103A Grieve Parade, Altona VIC 3018, Australia",ChIJIUsn7yVi1moRojZaEzKlKPI,"Altona P-9 College VIC,Australia",-37.8615691,144.8174433,3018,"establishment,point_of_interest,university",Altona,Altona P-9 College ,03 9250 8050,Hobsons Bay (C),1001,25,15,25%,25%,27%,34%,32%,8,12,20,12,12,24,13,6,19,9,10,19,16,8,24,6,8,14,13,11,24,144
2163,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Densham Rd, Armadale VIC 3143, Australia",ChIJ-z7yRdhp1moRTqODMCfv6e8,"Armadale Primary School VIC,Australia",-37.8521572,145.0168908,3143,"establishment,point_of_interest,school",Armadale,Armadale Primary School ,03 9822 7003,Stonnington (C),1164,24,9,24%,26%,26%,29%,26%,28,28,56,39.4,42,81.4,33,30,63,23,18,41,19,34,53,20,18,38,17,18,35,367.4
3631,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"900 Arthurs Creek Rd, Arthurs Creek VIC 3099, Australia",ChIJ8xlPQgvL12oRh-43Q1x5ub8,"Arthurs Creek Primary School VIC,Australia",-37.578921,145.202585,3099,"establishment,point_of_interest,school",Arthurs Creek,Arthurs Creek Primary School ,03 9714 8204,Nillumbik (S),1012,5,2,0%,0%,0%,1%,2%,3,2,5,2,4,6,6,4,10,4,4,8,6,7,13,4,6,10,3,3,6,58
2923,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Parkhill Dr, Ashwood VIC 3147, Australia",ChIJ6fy4vzhA1moRgP8psIx83VM,"Parkhill Primary School VIC,Australia",-37.8631829,145.1066999,3147,"establishment,point_of_interest,school",Ashwood,Parkhill Primary School ,03 9807 2239,Monash (C),1077,21,10,31%,36%,36%,28%,34%,17,18,35,28,18,46,35,26,61,24,17,41,33,15,48,27,19,46,34,20,54,331
