School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
1886,Abbotsford Primary School,Primary,O,15,16,31,10,17,27,10,10,20,8,14,22,7,10,17,10,5,15,9,10,19,151
4220,Aberfeldie Primary School,Primary,O,36,34,70,35,37,72,32,24,56,23,28,51,21,19,40,16,22,38,25,21,46,373
4879,Ainslie Parklands Primary School,Primary,O,13,11,24,13,18,31,15,20,35,17,11,28,13,10,23,14,12,26,8,7,15,182
5566,Aireys Inlet Primary School,Primary,O,9,3,12,8,10,18,12,6,18,10,8,18,11,4,15,8,9,17,10,6,16,114
4169,Airly Primary School,Primary,O,7,0,7,4,2,6,2,5,7,2,1,3,0,4,4,1,2,3,3,0,3,33
5522,Aitken Creek Primary School,Primary,O,93,79,172,93,119,212,92,75,167,80,60,140,66,61,127,39,36,75,45,32,77,970
5528,Alamanda K-9 College,Pri/Sec,O,161,164,325,160,174,334,141,131,272,134,127,261,117,93,210,104,77,181,63,70,133,1716
5179,Albanvale Primary School,Primary,O,21,18,39,17,15,32,25,22,47,17,15,32,21,19,40,13,15,28,9,24,33,251
5427,Albany Rise Primary School,Primary,O,25,16,41,27,21,48,27,19,46,20,18,38,17,21,38,20,21,41,23,27,50,302
1181,Albert Park Primary School,Primary,O,43,51,94,54,42,96,46,36,82,40,53,93,42,35,77,38,31,69,23,40,63,574
1,Alberton Primary School,Primary,O,4,4,8,3,1,4,3,1,4,3,6,9,5,2,7,11,3,14,1,1,2,48
4855,Albion North Primary School,Primary,O,22,21,43,15,11,26,17,24,41,20,27,47,19,15,34,14,19,33,12,16,28,252
4265,Albion Primary School,Primary,O,16,14,30,12,19,31,13,9,22,5,17,22,21,7,28,12,11,23,13,13,26,182
5043,Aldercourt Primary School,Primary,O,19,14,33,13,15,28,10,10,20,13,17,30,13,16,29,12,10,22,13,10,23,185
912,Alexandra Primary School,Primary,O,8,14,22,7,9,16,17,15,32,14,8,22,11,10,21,12,20,32,13,14,27,172
1091,Alfredton Primary School,Primary,O,40,37,77,44,44,88,48,41,89,44,38,82,40,42,82,34,39,73,52,47,99,590
