formatted_address,input_string,latitude,longitude,postcode,name,Type 
"170 Rindge Ave, Cambridge, MA 02140, USA","Reservoir Christian Fellowship Church VIC,Australia",42.3924439,-71.131153,2140,Reservoir Christian Fellowship Church,Christian
"209 Flinders Ln, Melbourne VIC 3000, Australia","Anglican Diocese of Melbourne Church VIC,Australia",-37.8163569,144.9678441,3000,Anglican Diocese of Melbourne Church,Christian
"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia","City on a Hill Church VIC,Australia",-37.812421,144.959797,3000,City on a Hill Church,Christian
"174 Collins St, Melbourne VIC 3000, Australia","Collins St. Baptist Church VIC,Australia",-37.8147769,144.967508,3000,Collins St. Baptist Church,Christian
"333 Swanston St, Melbourne VIC 3000, Australia","CrossCulture Church VIC,Australia",-37.810456,144.963985,3000,CrossCulture Church,Christian
"156 Collins St, Melbourne VIC 3000, Australia","Scots Presbyterian Church VIC,Australia",-37.8146055,144.9685126,3000,Scots Presbyterian Church,Christian
"Flinders Ln & Swanston St, Melbourne VIC 3000, Australia","St Paul's Anglican Cathedral Church VIC,Australia",-37.817029,144.967687,3000,St Paul's Anglican Cathedral Church,Christian
"148 Lonsdale St, Melbourne VIC 3000, Australia","Wesley Church Church VIC,Australia",-37.810301,144.968247,3000,Wesley Church Church,Christian
"156 Collins St, Melbourne VIC 3000, Australia","West Footscray Presbyterian Church VIC,Australia",-37.8146256,144.9681937,3000,West Footscray Presbyterian Church,Christian
"156 Collins St, Melbourne VIC 3000, Australia","Flemington Presbyterian Church VIC,Australia",-37.8146055,144.9685126,3000,Flemington Presbyterian Church,Christian
"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia","City on a Hill Church VIC,Australia",-37.812421,144.959797,3000,City on a Hill Church,Christian
"120 Collins St, Melbourne VIC 3000, Australia","St. Michaels Church VIC,Australia",-37.8142665,144.9696592,3000,St. Michaels Church,Christian
"156 Collins St, Melbourne VIC 3000, Australia","Indonesian Baptist Congregation Fellowship Church VIC,Australia",-37.814644,144.96815,3000,Indonesian Baptist Congregation Fellowship Church,Christian
"Athenaeum Theatre, 188 Collins St, Melbourne VIC 3000, Australia","Hillsong Melbourne Church VIC,Australia",-37.814868,144.9672932,3000,Hillsong Melbourne Church,Christian
"156 Collins St, Melbourne VIC 3000, Australia","Elwood Presbyterian Church VIC,Australia",-37.8146256,144.9681937,3000,Elwood Presbyterian Church,Christian
"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia","City on a Hill Church VIC,Australia",-37.812421,144.959797,3000,City on a Hill Church,Christian
"209 Flinders Ln, Melbourne VIC 3000, Australia","Anglican Parish Church VIC,Australia",-37.8163569,144.9678441,3000,Anglican Parish Church,Christian
"156 Collins St, Melbourne VIC 3000, Australia","Evangelical Presbyterian Church VIC,Australia",-37.8146256,144.9681937,3000,Evangelical Presbyterian Church,Christian
"500 Collins St, Melbourne VIC 3000, Australia","Exchange Church Church VIC,Australia",-37.8178471,144.957636,3000,Exchange Church Church,Christian
"209 Flinders Ln, Melbourne VIC 3000, Australia","Anglican Parish Church VIC,Australia",-37.8163569,144.9678441,3000,Anglican Parish Church,Christian
"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,3002,Holy Trinity Anglican Church,Christian
"176 Simpson St, East Melbourne VIC 3002, Australia","St Nicholas Antiochian Orthodox Church VIC,Australia",-37.8103722,144.9891931,3002,St Nicholas Antiochian Orthodox Church,Christian
"15 Gisborne St, East Melbourne VIC 3002, Australia","St Peter's Anglican Church VIC,Australia",-37.8097641,144.9751564,3002,St Peter's Anglican Church,Christian
"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,3002,Holy Trinity Anglican Church,Christian
"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Parish Church VIC,Australia",-37.814255,144.983619,3002,Holy Trinity Anglican Parish Church,Christian
"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,3002,Holy Trinity Anglican Church,Christian
"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,3002,Holy Trinity Anglican Church,Christian
"33 Howard St, West Melbourne VIC 3003, Australia","Melbourne West Church VIC,Australia",-37.805901,144.952862,3003,Melbourne West Church,Christian
"400 City Rd, Southbank VIC 3006, Australia","Planetshakers Church VIC,Australia",-37.8292387,144.9557145,3006,Planetshakers Church,Christian
