,accuracy,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
0,ROOFTOP,"67/71 Springvale Rd, Nunawading VIC 3131, Australia","(Chinese) Christian Church of Victoria VIC,Australia",-37.8126688,145.1774027,1,3131,OK
1,ROOFTOP,"Church of Christ, 86 High St, Ararat VIC 3377, Australia","Ararat Church of Christ VIC,Australia",-37.283312,142.935914,1,3377,OK
2,ROOFTOP,"432-446 Centre Rd, Berwick VIC 3806, Australia","Berwick Church of Christ VIC,Australia",-38.048675,145.335825,1,3806,OK
3,ROOFTOP,"58 Wilson St, Brighton VIC 3186, Australia","Brighton Church of Christ VIC,Australia",-37.913188,145.001217,1,3186,OK
4,ROOFTOP,"66 Blakeley Rd, Castlemaine VIC 3450, Australia","Castlemaine Church of Christ VIC,Australia",-37.043649,144.227832,1,3450,OK
5,ROOFTOP,"14 Acland St, St Kilda VIC 3182, Australia","Christ Church (Anglican) VIC,Australia",-37.8635987,144.9758403,1,3182,OK
6,ROOFTOP,"677 Punt Rd, South Yarra VIC 3141, Australia","Christ Church Anglican VIC,Australia",-37.838555,144.986035,1,3141,OK
7,ROOFTOP,"677 Punt Rd, South Yarra VIC 3141, Australia","Christ Church Anglican VIC,Australia",-37.838555,144.986035,1,3141,OK
8,ROOFTOP,"17 Livingstone Cl, Burwood VIC 3125, Australia","Christian Alliance Church of Victoria VIC,Australia",-37.842659,145.108716,1,3125,OK
9,ROOFTOP,"674-680 Doncaster Rd, Doncaster VIC 3108, Australia","Doncaster Church of Christ VIC,Australia",-37.787799,145.130224,1,3108,OK
10,GEOMETRIC_CENTER,"Pakenham St & Sturt St, Echuca VIC 3564, Australia","Echuca Church of Christ VIC,Australia",-36.1281062,144.754076,2,3564,OK
11,ROOFTOP,"188 Blackburn Rd, Doncaster East VIC 3109, Australia","Edge Church Melbourne VIC,Australia",-37.785359,145.16304,1,3109,OK
12,ROOFTOP,"69 McKillop St, Geelong VIC 3220, Australia","Fire Church Geelong VIC,Australia",-38.1536623,144.3600775,1,3220,OK
13,ROOFTOP,"252 Gordon St, Footscray VIC 3011, Australia","Footscray Church of Christ VIC,Australia",-37.7974357,144.888167,1,3011,OK
14,ROOFTOP,"555 N Walnut Grove Rd, Midlothian, TX 76065, USA","Gateway Church (AOG) VIC,Australia",32.487868,-96.942368,1,76065,OK
15,ROOFTOP,"186 Raglan Parade, Warrnambool VIC 3280, Australia","Gateway Church of Christ VIC,Australia",-38.3832099,142.5146802,2,3280,OK
16,ROOFTOP,"31 Saunders Rd, New Gisborne VIC 3438, Australia","Gisborne Church of Christ VIC,Australia",-37.4696114,144.5977399,1,3438,OK
17,ROOFTOP,"420 Waterdale Rd, Heidelberg West VIC 3081, Australia","Heidelberg West Church of Christ VIC,Australia",-37.747403,145.0471811,2,3081,OK
18,ROOFTOP,"91 River Rd, Horsham VIC 3400, Australia","Horsham Church of Christ VIC,Australia",-36.731903,142.2024403,1,3400,OK
19,ROOFTOP,"129 Tenth St, Mildura VIC 3500, Australia","Mildura Church of Christ VIC,Australia",-34.187408,142.1580139,1,3500,OK
20,ROOFTOP,"46-48 Montclair Ave, Glen Waverley VIC 3150, Australia","Monash City Church of Christ VIC,Australia",-37.8810184,145.1621792,1,3150,OK
21,ROOFTOP,"81 High St, Preston VIC 3072, Australia","Northern Community Church of Christ VIC,Australia",-37.7497863,145.0018432,1,3072,OK
22,ROOFTOP,"176 Como Parade W, Parkdale VIC 3195, Australia","Parkdale Church of Christ VIC,Australia",-37.9919913,145.0741022,1,3195,OK
23,ROOFTOP,"17 Tareeda Way, Ocean Grove VIC 3226, Australia","Peninsula Church of Christ VIC,Australia",-38.2577521,144.5498094,2,3226,OK
24,ROOFTOP,"13 Bedford Rd, Ringwood VIC 3134, Australia","Ringwood Church of Christ VIC,Australia",-37.8156,145.232619,1,3134,OK
25,ROOFTOP,"120 Yarrowee St, Sebastopol VIC 3356, Australia","Rise Christian Church Rise Christian VIC,Australia",-37.593417,143.8438231,1,3356,OK
26,ROOFTOP,"72 George St, Robinvale VIC 3549, Australia","Robinvale Church of Christ VIC,Australia",-34.5866723,142.7768954,1,3549,OK
27,ROOFTOP,"2400 Bay Area Blvd, Friendswood, TX 77546, USA","Southeast Church of Christ VIC,Australia",29.5335677,-95.1612202,1,77546,OK
28,ROOFTOP,"2/12 Chesterville Rd, Cheltenham VIC 3192, Australia","Southern Community Church of Christ VIC,Australia",-37.962101,145.056824,1,3192,OK
29,ROOFTOP,"1b/1 MacKay St, Springvale South VIC 3172, Australia","Springvale South Church of Christ VIC,Australia",-37.972117,145.149339,1,3172,OK
30,ROOFTOP,"8/2 King St, Swan Hill VIC 3585, Australia","Swan Hill Church of Christ VIC,Australia",-35.3305334,143.5564618,1,3585,OK
31,ROOFTOP,"390-398 St Georges Rd, Thornbury VIC 3071, Australia","Thornbury Church of Christ VIC,Australia",-37.75691,144.994253,1,3071,OK
32,ROOFTOP,"155 Bowen St, Warragul VIC 3820, Australia","Warragul Church Of Christ VIC,Australia",-38.145458,145.9292277,1,3820,OK
33,ROOFTOP,"119 Douglas Parade, Williamstown VIC 3016, Australia","Williamstown Church of Christ VIC,Australia",-37.854861,144.897094,1,3016,OK
34,ROOFTOP,"209 Flinders Ln, Melbourne VIC 3000, Australia","Anglican Diocese of Melbourne Church VIC,Australia",-37.8163569,144.9678441,1,3000,OK
35,GEOMETRIC_CENTER,"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia","City on a Hill Church VIC,Australia",-37.812421,144.959797,1,3000,OK
36,ROOFTOP,"174 Collins St, Melbourne VIC 3000, Australia","Collins St. Baptist Church VIC,Australia",-37.8147769,144.967508,1,3000,OK
37,ROOFTOP,"333 Swanston St, Melbourne VIC 3000, Australia","CrossCulture Church VIC,Australia",-37.810456,144.963985,1,3000,OK
38,ROOFTOP,"400 City Rd, Southbank VIC 3006, Australia","Planetshakers Church VIC,Australia",-37.8292387,144.9557145,1,3006,OK
39,ROOFTOP,"156 Collins St, Melbourne VIC 3000, Australia","Scots Presbyterian Church VIC,Australia",-37.8146055,144.9685126,2,3000,OK
40,ROOFTOP,"20 City Rd, Southbank VIC 3006, Australia","St Johns Southgate Lutheran Church VIC,Australia",-37.8206506,144.9669925,1,3006,OK
41,GEOMETRIC_CENTER,"Flinders Ln & Swanston St, Melbourne VIC 3000, Australia","St Paul's Anglican Cathedral Church VIC,Australia",-37.817029,144.967687,1,3000,OK
42,ROOFTOP,"910 Toorak Rd, Camberwell VIC 3124, Australia","UCA Gospel Hall Church VIC,Australia",-37.846358,145.057135,1,3124,OK
43,ROOFTOP,"148 Lonsdale St, Melbourne VIC 3000, Australia","Wesley Church Church VIC,Australia",-37.810301,144.968247,1,3000,OK
44,ROOFTOP,"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,1,3002,OK
45,ROOFTOP,"176 Simpson St, East Melbourne VIC 3002, Australia","St Nicholas Antiochian Orthodox Church VIC,Australia",-37.8103722,144.9891931,1,3002,OK
46,ROOFTOP,"15 Gisborne St, East Melbourne VIC 3002, Australia","St Peter's Anglican Church VIC,Australia",-37.8097641,144.9751564,1,3002,OK
47,ROOFTOP,"400 City Rd, Southbank VIC 3006, Australia","Planetshakers Church Melbourne City Campus Church VIC,Australia",-37.8292387,144.9557145,1,3006,OK
49,ROOFTOP,"252 Gordon St, Footscray VIC 3011, Australia","Citigate Church VIC,Australia",-37.797465,144.8880441,1,3011,OK
50,ROOFTOP,"60 Paisley St, Footscray VIC 3011, Australia","Footscray Baptist Church VIC,Australia",-37.8002276,144.8952984,1,3011,OK
51,ROOFTOP,"156 Collins St, Melbourne VIC 3000, Australia","West Footscray Presbyterian Church VIC,Australia",-37.8146256,144.9681937,1,3000,OK
52,GEOMETRIC_CENTER,"Yarraville VIC 3013, Australia","Westgate Baptist Church VIC,Australia",-37.8161884,144.8805003,1,3013,OK
53,ROOFTOP,"26 Mason St, Newport VIC 3015, Australia","Newport Baptist Church VIC,Australia",-37.8420547,144.8810005,1,3015,OK
54,ROOFTOP,"43 Paxton St, South Kingsville VIC 3015, Australia","C3 Church VIC,Australia",-37.829152,144.870197,1,3015,OK
55,ROOFTOP,"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,1,3002,OK
56,ROOFTOP,"214 N Main St, Williamstown, KY 41097, USA","Williamstown Baptist Church VIC,Australia",38.6388379,-84.5601275,1,41097,OK
57,ROOFTOP,"8 Electra St, Williamstown VIC 3016, Australia","Williamstown Gospel Mission Church VIC,Australia",-37.8632636,144.8989724,1,3016,OK
58,ROOFTOP,"87 Cecil St, Williamstown VIC 3016, Australia","Willlamstown Presbyterian Church VIC,Australia",-37.865315,144.9034802,1,3016,OK
59,ROOFTOP,"14 Sargood St, Altona VIC 3018, Australia","Altona Baptist Church VIC,Australia",-37.8686146,144.8291259,1,3018,OK
60,ROOFTOP,"1010 Euless South Main St, Euless, TX 76040, USA","Tongan Methodist Church VIC,Australia",32.8225677,-97.0826206,2,76040,OK
61,ROOFTOP,"12A Sun Cres, Sunshine VIC 3020, Australia","Cloud Christian Church Church VIC,Australia",-37.7875337,144.8307099,1,3020,OK
62,ROOFTOP,"8 Watt St, Sunshine VIC 3020, Australia","Hope of Life Community Church Church VIC,Australia",-37.789061,144.829806,1,3020,OK
63,ROOFTOP,"41 Lance Rd, Sunshine North VIC 3020, Australia","Enjoy Church VIC,Australia",-37.7613606,144.8430302,1,3020,OK
64,ROOFTOP,"33 Howard St, West Melbourne VIC 3003, Australia","Melbourne West Church VIC,Australia",-37.805901,144.952862,1,3003,OK
65,ROOFTOP,"120 Anderson Rd, Sunshine VIC 3020, Australia","Sunshine Presbyterian Church VIC,Australia",-37.7840854,144.8278072,1,3020,OK
66,ROOFTOP,"95 Alfrieda St, St Albans VIC 3021, Australia","GROW Church VIC,Australia",-37.73798,144.801553,1,3021,OK
67,ROOFTOP,"3 W Esplanade, St Albans VIC 3021, Australia","(Croatian) Seventh-day Adventist Church VIC,Australia",-37.742811,144.797679,1,3021,OK
68,ROOFTOP,"116-120 Black Forest Rd, Wyndham Vale VIC 3030, Australia","Wyndham Presbyterian Church VIC,Australia",-37.900867,144.6253709,1,3030,OK
69,ROOFTOP,"14 Sargood St, Altona VIC 3018, Australia","Altona Baptist Church VIC,Australia",-37.8686146,144.8291259,1,3018,OK
71,ROOFTOP,"68-72 Nelson Ave, Altona VIC 3028, Australia","Altona Evangelical Church Church VIC,Australia",-37.880385,144.778968,1,3028,OK
