,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"1 Service St, Hampton VIC 3188, Australia",ChIJ_6FSnR9v1moRtqkC10RWahM,"1 Service St, Hampton VIC 3188, Australia",-37.9386488,145.0027125,1,3188,OK,street_address
1,APPROXIMATE,"Boroondara, VIC, Australia",ChIJo0uOpoFB1moR_Jg9IVgcPfo,"Boroondara, VIC, Australia",-37.8119024,145.0713904,1,,OK,"administrative_area_level_2,political"
2,ROOFTOP,"301 Hampshire Rd, Sunshine VIC 3020, Australia",ChIJsYLMoSte1moRPD0FvucGDac,"301 Hampshire Rd, Sunshine VIC 3020, Australia",-37.783319,144.832142,1,3020,OK,street_address
3,ROOFTOP,"310 Hare St, Echuca VIC 3564, Australia",ChIJFXF8_-QC2WoRXgnbtCw0V4c,"310 Hare St, Echuca VIC 3564, Australia",-36.1235291,144.7488894,1,3564,OK,street_address
4,ROOFTOP,"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",ChIJ_Uu2Bigh1moRVL4qyfCe9R4,"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",-37.929103,145.445716,1,3782,OK,street_address
5,RANGE_INTERPOLATED,"178 Doveton St N, Ballarat Central VIC 3350, Australia",EjYxNzggRG92ZXRvbiBTdCBOLCBCYWxsYXJhdCBDZW50cmFsIFZJQyAzMzUwLCBBdXN0cmFsaWE,"178 Doveton St N, Ballarat VIC 3353, Australia",-37.5581345,143.8554904,1,3350,OK,street_address
6,ROOFTOP,"55 Victoria St, Cobden VIC 3266, Australia",ChIJYxuxlO3q0moRi59MGw7C4Vo,"55 Victoria St, Cobden VIC 3266, Australia",-38.327015,143.077078,1,3266,OK,street_address
7,ROOFTOP,"32-38 Separation St, Northcote VIC 3070, Australia",ChIJzRZxGX5D1moRWjVdhwYgd4E,"32-38 Separation St, Northcote VIC 3070, Australia",-37.769722,145.00083,1,3070,OK,street_address
8,ROOFTOP,"22 Service St, Bairnsdale VIC 3875, Australia",ChIJWf54JHZ_L2sRmqZES-NqiUA,"22 Service St, Bairnsdale VIC 3875, Australia",-37.8254878,147.6286582,1,3875,OK,street_address
9,ROOFTOP,"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",ChIJzcdCoN491moRGktOHw8S_q0,"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",-37.8996427,145.2313154,1,3179,OK,premise
10,ROOFTOP,"60 Playne St, Frankston VIC 3199, Australia",ChIJX2PZiNh01moRlmKYuCkxCC4,"60 Playne St, Frankston VIC 3199, Australia",-38.1457511,145.1236502,1,3199,OK,street_address
11,APPROXIMATE,"Gannawarra, VIC, Australia",ChIJ08tOB2nE22oRJcJ9ydhY0lY,"Gannawarra, VIC, Australia",-35.7052801,143.8237385,1,,OK,"administrative_area_level_2,political"
12,ROOFTOP,"51 Little Malop St, Geelong VIC 3220, Australia",ChIJMas9SQMU1GoRYV9_eB3dtJ4,"51 Little Malop St, Geelong VIC 3220, Australia",-38.146838,144.356968,1,3220,OK,street_address
13,ROOFTOP,"161 Jasper Rd, Bentleigh VIC 3204, Australia",ChIJ00JAdVtp1moRSODdnuIMVyU,"161 Jasper Rd, Bentleigh VIC 3204, Australia",-37.9195358,145.0413381,1,3204,OK,street_address
14,ROOFTOP,"56 Percy St, Portland VIC 3305, Australia",ChIJ30W0vTGYnaoR_-OL6pfUxBg,"56 Percy St, Portland VIC 3305, Australia",-38.3475034,141.6039378,1,3305,OK,street_address
15,ROOFTOP,"98 Main St, Romsey VIC 3434, Australia",ChIJG195LQIH12oR6gBN4g-uiUc,"98 Main St, Romsey VIC 3434, Australia",-37.3499812,144.7433221,1,3434,OK,street_address
16,ROOFTOP,"79 Benalla Rd, Shepparton VIC 3630, Australia",ChIJIco8FumD2GoRsTnhH2Q_mD0,"79 Benalla Rd, Shepparton VIC 3630, Australia",-36.3847052,145.4209027,1,3630,OK,street_address
17,ROOFTOP,"225 Lonsdale St, Dandenong VIC 3175, Australia",ChIJ4SysYA8U1moR3eQVuUTC3N8,"225 Lonsdale St, Dandenong VIC 3175, Australia",-37.9852308,145.2144852,1,3175,OK,premise
18,RANGE_INTERPOLATED,"21 Docker St, Wangaratta VIC 3677, Australia",EiwyMSBEb2NrZXIgU3QsIFdhbmdhcmF0dGEgVklDIDM2NzcsIEF1c3RyYWxpYQ,"21 Docker St, Wangaratta VIC 3677, Australia",-36.3546102,146.3194022,1,3677,OK,street_address
19,APPROXIMATE,"Hobsons Bay, VIC, Australia",ChIJrQet5Xth1moRoNNpoMfBvFM,"Hobsons Bay, VIC, Australia",-37.8360799,144.8401227,1,,OK,"administrative_area_level_2,political"
20,ROOFTOP,"1093 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia",ChIJsfZzXYpa1moRhfRiW6Ef57g,"1093 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia",-37.6825174,144.9184312,1,3047,OK,street_address
21,ROOFTOP,"34 High St, Yackandandah VIC 3749, Australia",ChIJ62YTrKxUIWsRKViitlMCVE8,"34 High St, Yackandandah VIC 3749, Australia",-36.3131959,146.8371729,1,3749,OK,street_address
22,ROOFTOP,"63/65 Elgin St, Morwell VIC 3840, Australia",Eis2My82NSBFbGdpbiBTdCwgTW9yd2VsbCBWSUMgMzg0MCwgQXVzdHJhbGlh,"63-65 Elgin St, Morwell VIC 3840, Australia",-38.2400256,146.3991223,2,3840,OK,subpremise
23,ROOFTOP,"539 Barkly St, West Footscray VIC 3012, Australia",ChIJkZZlqP5d1moRKOghdi9RxSo,"539 Barkly St, West Footscray VIC 3012, Australia",-37.797639,144.878139,1,3012,OK,street_address
24,ROOFTOP,"328 Swanston St, Melbourne VIC 3000, Australia",ChIJlepBkstC1moRekAIp6Sx0Ao,"328 Swanston St, Melbourne VIC 3000, Australia",-37.8100565,144.9643151,1,3000,OK,street_address
25,ROOFTOP,"31 McKenzie St, Melton VIC 3337, Australia",ChIJxWEmgT7t1moR5lrABhoxgvE,"31 McKenzie St, Melton VIC 3337, Australia",-37.6848171,144.5820376,1,3337,OK,street_address
26,ROOFTOP,"190 Deakin Ave, Mildura VIC 3500, Australia",ChIJf1IWeHoDw2oRIO9vY5_pyVQ,"The Alfred Deakin Centre, 180 - 190 Deakin Ave, Mildura VIC 3500, Australia",-34.1911195,142.156883,2,3500,OK,"establishment,point_of_interest"
27,ROOFTOP,"113 High St, Broadford VIC 3658, Australia",ChIJj-mYDqCW12oRgg2txAbw5aU,"113 High St, Broadford VIC 3658, Australia",-37.2030048,145.0489732,1,3658,OK,street_address
28,ROOFTOP,"148 Drummond St, Oakleigh VIC 3166, Australia",ChIJ77Jq115q1moRZUke_U2y8nE,"148 Drummond St, Oakleigh VIC 3166, Australia",-37.8973941,145.0902478,1,3166,OK,street_address
29,ROOFTOP,"762 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",ChIJnf-fqPNc1moRodlds-wJ3O4,"762 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",-37.7647126,144.9245803,1,3039,OK,street_address
30,ROOFTOP,"737 Pascoe Vale Rd, Glenroy VIC 3046, Australia",ChIJw56dFapb1moR0aQnIZRGoMI,"737 Pascoe Vale Rd, Glenroy VIC 3046, Australia",-37.706755,144.916,1,3046,OK,street_address
31,GEOMETRIC_CENTER,"Vancouver St, Mornington VIC 3931, Australia",,"Vancouver St, Mornington VIC 3931, Australia",-38.2174443,145.03567,1,3931,OK,route
32,ROOFTOP,"49 Grant St, Alexandra VIC 3714, Australia",ChIJ_SAckzMIKGsRj_ANkj6ogCE,"49 Grant St, Alexandra VIC 3714, Australia",-37.1907018,145.7092892,1,3714,OK,street_address
33,ROOFTOP,"319 Montague St, Albert Park VIC 3206, Australia",ChIJx743kONn1moRQIjQLxS4eVc,"319 Montague St, Albert Park VIC 3206, Australia",-37.8413345,144.9563223,1,3206,OK,street_address
34,ROOFTOP,"1 Winter St, Malvern VIC 3144, Australia",ChIJS8nMGedp1moRY9pfAytTcjI,"1 Winter St, Malvern VIC 3144, Australia",-37.859755,145.029415,1,3144,OK,street_address
35,ROOFTOP,"53-67 Campbell St, Swan Hill VIC 3585, Australia",ChIJEWP3xYiF22oR19N0Wrhmzac,"53-67 Campbell St, Swan Hill VIC 3585, Australia",-35.3356181,143.5588428,1,3585,OK,street_address
36,APPROXIMATE,"Corryong VIC 3707, Australia",ChIJv88X1t8ZI2sRoE6gMKR5BQQ,"Corryong VIC 3707, Australia",-36.1966523,147.9023498,1,3707,OK,"locality,political"
37,ROOFTOP,"Wellington Shire Council, 70 Foster St, Sale VIC 3850, Australia",ChIJNbmlWAQvL2sRuPwWYz0lRCs,"Wellington Shire Council, 70 Foster St, Sale VIC 3850, Australia",-38.1118103,147.0639369,2,3850,OK,premise
38,ROOFTOP,"Regional Support Centre Unit, 2/65 Victoria St, Warragul VIC 3820, Australia",ChIJG9D9lfuVKWsRcRWl1nsk2hY,"Regional Support Centre Unit, 2/65 Victoria St, Warragul VIC 3820, Australia",-38.160077,145.929458,1,3820,OK,"establishment,point_of_interest"
