formatted_address,input_string,latitude,longitude,postcode,type,Culture
"1 Service St, Hampton VIC 3188, Australia",Bayside Library Service ,-37.9386488,145.0027125,3188,Library ,Itanlian
"Boroondara, VIC, Australia",City of Boroondara Library Service ,-37.8119024,145.0713904,,Library ,Itanlian
"301 Hampshire Rd, Sunshine VIC 3020, Australia",Brimbank Library ,-37.7835032,144.832086,3020,Library ,Itanlian
"310 Hare St, Echuca VIC 3564, Australia",Campaspe Regional Library ,-36.1235291,144.7488894,3564,Library ,Itanlian
"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",Casey Cardinia Library ,-37.929103,145.445716,3782,Library ,Itanlian
"178 Doveton St N, Ballarat VIC 3353, Australia",Central Highlands Library ,-37.5581412,143.8558981,3353,Library ,Itanlian
"55 Victoria St, Cobden VIC 3266, Australia",Corangamite Regional Library Corporation ,-38.327015,143.077078,3266,Library ,Itanlian
"32-38 Separation St, Northcote VIC 3070, Australia",Darebin Library ,-37.7697492,145.0008668,3070,Library ,Itanlian
"22 Service St, Bairnsdale VIC 3875, Australia",East Gippsland Shire Library ,-37.8254878,147.6286582,3875,Library ,Itanlian
"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",Eastern Regional Library Corporation ,-37.899665,145.2314091,3179,Library ,Itanlian
"60 Playne St, Frankston VIC 3199, Australia",Frankston City Library ,-38.1458786,145.1237116,3199,Library ,Itanlian
"Gannawarra, VIC, Australia",Gannawarra Library Service ,-35.7052801,143.8237385,,Library ,Itanlian
"51 Little Malop St, Geelong VIC 3220, Australia",Geelong Regional Library Corporation ,-38.1470618,144.35659,3220,Library ,Itanlian
"161 Jasper Rd, Bentleigh VIC 3204, Australia",Glen Eira Library Service ,-37.9196382,145.0413838,3204,Library ,Itanlian
"56 Percy St, Portland VIC 3305, Australia",Glenelg Library ,-38.3475034,141.6039378,3305,Library ,Itanlian
"98 Main St, Romsey VIC 3434, Australia",Goldfields Library Corporation ,-37.350094,144.7433941,3434,Library ,Itanlian
"79 Benalla Rd, Shepparton VIC 3630, Australia",Goulburn Valley Regional Library Corporation ,-36.384682,145.420904,3630,Library ,Itanlian
"225 Lonsdale St, Dandenong VIC 3175, Australia",Greater Dandenong Library ,-37.9886875,145.2135006,3175,Library ,Itanlian
"21 Docker St, Wangaratta VIC 3677, Australia",High Country Library Corporation ,-36.3550961,146.3200058,3677,Library ,Itanlian
"Hobsons Bay, VIC, Australia",Hobsons Bay Library ,-37.8360799,144.8401227,,Library ,Itanlian
"1093 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia",Hume Library ,-37.682569,144.9184922,3047,Library ,Itanlian
