,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,
0,ROOFTOP,"Bayside Secondary College, 29-69 Kororoit Creek Rd, Williamstown VIC 3016, Australia",ChIJd8wjj8hm1moRdo25pGap6RQ,"Bayside Secondary College VIC,Australia",-37.8574729,144.8834646,1,3016,OK,Altona North Language School
1,ROOFTOP,"1726 Sturt Street West, Alfredton VIC 3350, Australia",ChIJmWx_Q3tD0WoRaAt7MIFTUrY,"Ballarat High School VIC,Australia",-37.5542574,143.8177157,1,3350,OK,Ballarat Language School
2,GEOMETRIC_CENTER,"Ellis St, Flora Hill VIC 3550, Australia",ChIJKdqCPodZ12oRBUVq-ynHicQ,"Bendigo South East College VIC,Australia",-36.7759793,144.2977128,1,3550,OK,Bendigo Language School
3,GEOMETRIC_CENTER,"Manuka Rd, Berwick VIC 3806, Australia",ChIJ1dCSEnoZ1moRF_jI4Hl0wNk,"Berwick College VIC,Australia",-38.031117,145.363455,1,3806,OK,Berwick Language School
4,ROOFTOP,"58/62 Springfield Rd, Blackburn North VIC 3130, Australia",ChIJ-69on7o41moRROGTpu30zpM,"Blackburn High School VIC,Australia",-37.8110469,145.1502729,1,3130,OK,Blackburn Language School
5,ROOFTOP,"1180 Whitehorse Rd, Box Hill VIC 3128, Australia",ChIJKZ7QK65A1moRmDc8E0MfwcI,"Box Hill High School VIC,Australia",-37.8205681,145.1374574,1,3128,OK,Box Hill Language School
6,ROOFTOP,"65-71 Watsons Rd, Glen Waverley VIC 3150, Australia",ChIJ62Gy5dg_1moRyv5VeIwn_qo,"Brentwood Secondary College VIC,Australia",-37.8989726,145.1670996,1,3150,OK,Brentwood Language School
7,ROOFTOP,"47 Dawson St, Melbourne VIC 3056, Australia",ChIJbcS5b7Zc1moRoHkzKXoBRZk,"Brunswick Secondary College VIC,Australia",-37.7710134,144.9553361,1,3056,OK,Brunswick Language School
8,GEOMETRIC_CENTER,"The Crossing, Caroline Springs VIC 3023, Australia",ChIJO-fmkeD01moRgjllIA5UBLg,"Creekside College VIC,Australia",-37.7344311,144.7379404,2,3023,OK,Caroline Springs Language School
9,ROOFTOP,"88 Rosebank Ave, Clayton South VIC 3169, Australia",ChIJkZ7akjNr1moR71GFBeDcM0g,"Westall Secondary College VIC,Australia",-37.9403467,145.1365672,1,3169,OK,Clayton South (Westall) Language School
10,ROOFTOP,"Cobram Secondary College, 25-47 Warkil St, Cobram VIC 3644, Australia",ChIJkWa-OmmtIGsR1J7xq0NCTFY,"Cobram Secondary College VIC,Australia",-35.9135134,145.6543131,1,3644,OK,Cobram Language School
11,GEOMETRIC_CENTER,"Cromwell St & McCutcheon Way, Abbotsford VIC 3067, Australia",ChIJqT0RdOJC1moR7JmfzJfZnN0,"Collingwood College VIC,Australia",-37.80322,144.9900517,1,3067,OK,Collingwood College Language School
12,ROOFTOP,"2-30 Hampton St, Craigieburn VIC 3064, Australia",ChIJhfPVyjZS1moRDw3zwO9mE7g,"Mount Ridley College VIC,Australia",-37.5792286,144.9220477,1,3064,OK,Craigieburn Language School
13,ROOFTOP,"20 Brentnall Rd, Croydon VIC 3136, Australia",ChIJr09xWps61moREfc4bj0eTV4,"Melba College VIC,Australia",-37.796098,145.26145,2,3136,OK,Croydon (Melba College) Language School
14,ROOFTOP,"92-106 Princes Hwy, Dandenong VIC 3175, Australia",ChIJ19ngkhAU1moR862iCpFW5zA,"Dandenong High School VIC,Australia",-37.9791115,145.2083105,1,3175,OK,Dandenong Language School
15,ROOFTOP,"315 Clarendon St, Thornbury VIC 3071, Australia",ChIJq6qqqmNE1moRPT4k_-U-LJ8,"Victorian School of Languages VIC,Australia",-37.761857,145.025989,1,3071,OK,Distance Education Language School
16,ROOFTOP,"20 George St, Doncaster East VIC 3109, Australia",ChIJX1m1Z2A41moRfafe8G8cIr0,"Doncaster Secondary College VIC,Australia",-37.7824708,145.1589454,1,3109,OK,Doncaster Language School
17,GEOMETRIC_CENTER,"McDonalds Rd, Epping VIC 3076, Australia",ChIJg4aj3LJO1moRwtVGmTAi6pQ,"Epping Secondary College VIC,Australia",-37.6437079,145.0339083,1,3076,OK,Epping Language School
18,ROOFTOP,"1 Kinnear St, Footscray VIC 3011, Australia",ChIJxcjHAetd1moRmLwdibraT9g,"Footscray City College VIC,Australia",-37.790483,144.89434,1,3011,OK,Footscray City Language School
19,GEOMETRIC_CENTER,"Little Ryrie St, Geelong VIC 3220, Australia",ChIJdYZPywUU1GoRZN6xqt9Vuv0,"Matthew Flinders Girls?? Secondary College VIC,Australia",-38.1493266,144.3533417,1,3220,OK,Geelong (Matthew Flinders) Language School
20,GEOMETRIC_CENTER,"Gisborne Melton Rd, Gisborne VIC 3437, Australia",ChIJ05mV7aTk1moRzUcuuRaEJVc,"Gisborne Secondary College VIC,Australia",-37.4982909,144.5850081,1,3437,OK,Gisborne Language School
