,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"30 Brewsters Rd, Yinnar South VIC 3869, Australia",ChIJ8WojmAJyKWsRXxWp7hcAa4I,"Yinnar South Primary School VIC,Australia",-38.3695962,146.3644361,1,3869,OK,"establishment,point_of_interest,school"
1,ROOFTOP,"30 Main St, Yinnar VIC 3869, Australia",ChIJVa0oGKhzKWsRKHizCdImU-Y,"Yinnar Primary School VIC,Australia",-38.32127,146.3288308,1,3869,OK,"establishment,point_of_interest,school"
2,ROOFTOP,"1936 Healesville - Koo Wee Rup Rd, Yellingbo VIC 3139, Australia",ChIJudNApT7WKWsRaIkqt1sbU4I,"Yellingbo Primary School VIC,Australia",-37.812729,145.508086,1,3139,OK,"establishment,point_of_interest,school"
3,ROOFTOP,"23 Station St, Yea VIC 3717, Australia",ChIJY0P-jev812oRCpLqfCfUTFU,"Yea Primary School VIC,Australia",-37.2131736,145.4280907,1,3717,OK,"establishment,point_of_interest,school"
4,ROOFTOP,"30 Powell St, Yarraville VIC 3013, Australia",ChIJoTbB70Vn1moRqa04mVvlKIk,"Yarraville West Primary School VIC,Australia",-37.8148373,144.8851424,1,3013,OK,"establishment,point_of_interest,school"
5,ROOFTOP,"540 Yan Yean Rd, Yarrambat VIC 3091, Australia",ChIJZzG4bHRK1moR1un6ymBfo-E,"Yarrambat Primary School VIC,Australia",-37.6409104,145.1333771,1,3091,OK,"establishment,point_of_interest,school"
6,ROOFTOP,"Hepburn Primary School, 156 Main Rd, Hepburn VIC 3461, Australia",ChIJKzRjE2PU1moR013UZC2GFeI,"Yandoit Primary School VIC,Australia",-37.3097352,144.1329817,3,3461,OK,street_address
7,GEOMETRIC_CENTER,"McKenzie Cres, Wycheproof VIC 3527, Australia",ChIJ6xIU24-N2moR3iwGrnXOigI,"Wycheproof P-12 College VIC,Australia",-36.075226,143.2282515,1,3527,OK,"establishment,point_of_interest,school"
8,GEOMETRIC_CENTER,"Barkhurst St, Wunghnu VIC 3635, Australia",ChIJd9lLzbih2GoRi12xfRVcBRY,"Wunghnu Primary School VIC,Australia",-36.150281,145.4302026,1,3635,OK,"establishment,point_of_interest,school"
9,ROOFTOP,"Woomelang Group School, 2 Roberts St, Woomelang VIC 3485, Australia",ChIJmbtYrIUyxWoR8OVB63Yv254,"Woomelang Group School VIC,Australia",-35.6819941,142.667313,1,3485,OK,street_address
10,ROOFTOP,"12 Manifold St, Woolsthorpe VIC 3276, Australia",ChIJxfdn4rNGzWoRmBJG-eq4Ahs,"Woolsthorpe Primary School VIC,Australia",-38.1874429,142.4314337,1,3276,OK,"establishment,point_of_interest,school"
11,ROOFTOP,"10 Gum Nut Dr, Langwarrin VIC 3910, Australia",ChIJTyZOywoM1moRH9wdcxyujws,"Woodlands Primary School VIC,Australia",-38.135271,145.203857,1,3910,OK,"establishment,point_of_interest,school"
12,GEOMETRIC_CENTER,"Tantaraboo Rd, Kilmore VIC 3764, Australia",ChIJx3VNdaOj12oRtBQ7twbul14,"Willowmavin Primary School VIC,Australia",-37.2591708,144.8884229,1,3764,OK,"establishment,point_of_interest,school"
13,ROOFTOP,"115 Cecil St, Williamstown VIC 3016, Australia",ChIJGXSlcOtm1moRdoPjw1FzaQE,"Williamstown Primary School VIC,Australia",-37.8640681,144.8997894,1,3016,OK,"establishment,point_of_interest,school"
14,ROOFTOP,"60 Merrilands Rd, Reservoir VIC 3073, Australia",ChIJxZUxzX9F1moRbmSTSKYEt-Y,"William Ruthven Primary School VIC,Australia",-37.6956166,145.0024376,1,3073,OK,"establishment,point_of_interest,school"
15,ROOFTOP,"18 Church St, Whorouly VIC 3735, Australia",ChIJv1Agi5-_JmsRkgjls_QAVmo,"Whorouly Primary School VIC,Australia",-36.5056553,146.5864932,2,3735,OK,"establishment,point_of_interest,school"
16,ROOFTOP,"2435 Plenty Rd, Whittlesea VIC 3757, Australia",ChIJTxRUnMG112oR_92kl2y5Vts,"Whittlesea Primary School VIC,Australia",-37.5149159,145.1142877,1,3757,OK,"establishment,point_of_interest,school"
17,ROOFTOP,"Whitfield Primary School, 6182 Mansfield-Whitfield Rd, Whitfield VIC 3733, Australia",ChIJKZDWSbv3JmsRzYDRbuXsuU8,"Whitfield District Primary School VIC,Australia",-36.765871,146.4123873,1,3733,OK,street_address
18,ROOFTOP,"70-86 Junction Rd, Blackburn North VIC 3130, Australia",ChIJwf-XT8I41moRdiNG5FptvDM,"Whitehorse Primary School VIC,Australia",-37.807888,145.1672033,1,3130,OK,"establishment,point_of_interest,school"
19,ROOFTOP,"16 Plumridge St, White Hills VIC 3550, Australia",ChIJDyN96vVY12oRYcqBr2u3TQ0,"White Hills Primary School VIC,Australia",-36.7274025,144.3040258,1,3550,OK,"establishment,point_of_interest,school"
20,ROOFTOP,"134-148 Whites Ln, Wheelers Hill VIC 3150, Australia",ChIJpTVgZNQ_1moRTwaGe8WQnGI,"Wheelers Hill Primary School VIC,Australia",-37.9003968,145.1780801,1,3150,OK,"establishment,point_of_interest,school"
21,ROOFTOP,"34-46 Riddell St, Westmeadows VIC 3049, Australia",ChIJbcxKlD1a1moRo4TcT4z1MGw,"Westmeadows Primary School VIC,Australia",-37.676201,144.896059,1,3049,OK,"establishment,point_of_interest,school"
22,ROOFTOP,"2-10 Pascoe St, Pascoe Vale VIC 3044, Australia",ChIJt06HCxlb1moR6rFsxgBJIJU,"Westbreen Primary School VIC,Australia",-37.7159685,144.9358315,1,3044,OK,"establishment,point_of_interest,school"
23,ROOFTOP,"22 Fairbank Rd, Clayton South VIC 3169, Australia",ChIJkWv6sDdr1moR_dMNnxbR09I,"Westall Primary School VIC,Australia",-37.941888,145.1365293,1,3169,OK,"establishment,point_of_interest,school"
